index,change,first_pic,key,loc2y,loc3y,locy,lure1,lure2,second_pic
0,0,stimuli/scene/pairs/A8.jpg,j,2,1,3,stimuli/scene/lures/21.jpg,stimuli/scene/lures/35.jpg,stimuli/scene/pairs/A8.jpg
1,1,stimuli/scene/pairs/B10.jpg,k,1,3,2,stimuli/scene/lures/14.jpg,stimuli/scene/lures/19.jpg,stimuli/scene/pairs/A10.jpg
2,1,stimuli/scene/pairs/B3.jpg,k,3,2,1,stimuli/scene/lures/29.jpg,stimuli/scene/lures/26.jpg,stimuli/scene/pairs/A3.jpg
3,0,stimuli/scene/pairs/B2.jpg,j,2,3,1,stimuli/scene/lures/11.jpg,stimuli/scene/lures/31.jpg,stimuli/scene/pairs/B2.jpg
4,0,stimuli/scene/pairs/A5.jpg,j,3,1,2,stimuli/scene/lures/10.jpg,stimuli/scene/lures/17.jpg,stimuli/scene/pairs/A5.jpg
5,1,stimuli/scene/pairs/A14.jpg,k,2,3,1,stimuli/scene/lures/34.jpg,stimuli/scene/lures/8.jpg,stimuli/scene/pairs/B14.jpg
6,0,stimuli/scene/pairs/B12.jpg,j,2,3,1,stimuli/scene/lures/4.jpg,stimuli/scene/lures/5.jpg,stimuli/scene/pairs/B12.jpg
7,1,stimuli/scene/pairs/B16.jpg,k,1,3,2,stimuli/scene/lures/13.jpg,stimuli/scene/lures/32.jpg,stimuli/scene/pairs/A16.jpg
8,0,stimuli/scene/pairs/A15.jpg,j,2,1,3,stimuli/scene/lures/3.jpg,stimuli/scene/lures/22.jpg,stimuli/scene/pairs/A15.jpg
9,0,stimuli/scene/pairs/A18.jpg,j,3,2,1,stimuli/scene/lures/24.jpg,stimuli/scene/lures/33.jpg,stimuli/scene/pairs/A18.jpg
10,0,stimuli/scene/pairs/A7.jpg,j,3,2,1,stimuli/scene/lures/25.jpg,stimuli/scene/lures/18.jpg,stimuli/scene/pairs/A7.jpg
11,1,stimuli/scene/pairs/A4.jpg,k,2,1,3,stimuli/scene/lures/27.jpg,stimuli/scene/lures/6.jpg,stimuli/scene/pairs/B4.jpg
12,1,stimuli/scene/pairs/B11.jpg,k,1,3,2,stimuli/scene/lures/23.jpg,stimuli/scene/lures/9.jpg,stimuli/scene/pairs/A11.jpg
13,0,stimuli/scene/pairs/B9.jpg,j,3,1,2,stimuli/scene/lures/16.jpg,stimuli/scene/lures/15.jpg,stimuli/scene/pairs/B9.jpg
14,0,stimuli/scene/pairs/A1.jpg,j,2,1,3,stimuli/scene/lures/36.jpg,stimuli/scene/lures/1.jpg,stimuli/scene/pairs/A1.jpg
15,1,stimuli/scene/pairs/B17.jpg,k,3,2,1,stimuli/scene/lures/2.jpg,stimuli/scene/lures/7.jpg,stimuli/scene/pairs/A17.jpg
16,1,stimuli/scene/pairs/B13.jpg,k,3,1,2,stimuli/scene/lures/20.jpg,stimuli/scene/lures/12.jpg,stimuli/scene/pairs/A13.jpg
17,1,stimuli/scene/pairs/B6.jpg,k,3,2,1,stimuli/scene/lures/28.jpg,stimuli/scene/lures/30.jpg,stimuli/scene/pairs/A6.jpg
